step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
300,0,0,300,1,299,-1.0,1.0,0.400299,0.0,0.026747881355932205,0.004982615844741211
600,1,0,600,2,299,0.0,0.997,0.40059900000000004,0.0,0.0209375,0.003183342433767393
900,2,0,900,3,299,0.0,0.994009,0.400899,0.0,0.01359375,0.002452544089173898
1200,3,0,1200,4,299,1.0,0.991026973,0.40119900000000003,0.00078125,0.0103125,0.0021318586834240703
1500,4,0,1500,5,299,3.0,0.988053892081,0.401499,0.01890625,0.0084375,0.002794960414757952
1800,5,0,1800,6,299,-2.0,0.985089730404757,0.401799,0.0371875,0.01859375,0.004302195117343217
2100,6,0,2100,7,299,-3.0,0.9821344612135428,0.40209900000000004,0.0309375,0.043125,0.005283008578699082
2400,7,0,2400,8,299,2.0,0.9791880578299021,0.402399,0.04453125,0.04890625,0.006122904447838664
2700,8,0,2700,9,299,1.0,0.9762504936564125,0.40269900000000003,0.04640625,0.04609375,0.005783908077282831
3000,9,0,3000,10,299,0.0,0.9733217421754432,0.402999,0.0471875,0.045,0.005678125779377296
3300,10,0,3300,11,299,0.0,0.9704017769489168,0.403299,0.04625,0.040625,0.005243285031756386
3600,11,0,3600,12,299,-1.0,0.9674905716180701,0.40359900000000004,0.038125,0.04234375,0.00478007021243684
3900,12,0,3900,13,299,1.0,0.9645880999032158,0.403899,0.03984375,0.03625,0.004431324192555621
4200,13,0,4200,14,299,0.0,0.9616943356035061,0.40419900000000003,0.036875,0.0340625,0.00411876140278764
4500,14,0,4500,15,299,-1.0,0.9588092525966956,0.404499,0.03515625,0.031875,0.0038537077710498126
4800,15,0,4800,16,299,0.0,0.9559328248389055,0.404799,0.03078125,0.035625,0.003750546808587387
5100,16,0,5100,17,299,0.0,0.9530650263643888,0.40509900000000004,0.02765625,0.0346875,0.0035444108955562117
5400,17,0,5400,18,299,-1.0,0.9502058312852957,0.405399,0.02703125,0.0340625,0.003384906500577927
5700,18,0,5700,19,299,0.0,0.9473552137914398,0.40569900000000003,0.03171875,0.03453125,0.0036333997355541213
6000,19,0,6000,20,299,-2.0,0.9445131481500655,0.405999,0.03046875,0.03984375,0.0038922610331792386
6300,20,0,6300,21,299,-3.0,0.9416796087056153,0.406299,0.02765625,0.04375,0.004036815540166572
6600,21,0,6600,22,299,0.0,0.9388545698794984,0.40659900000000004,0.02765625,0.04859375,0.004354938619653695
6900,22,0,6900,23,299,0.0,0.93603800616986,0.406899,0.02875,0.05125,0.004425214031944052
7200,23,0,7200,24,299,-1.0,0.9332298921513504,0.40719900000000003,0.0284375,0.0475,0.004219884765334427
7500,24,0,7500,25,299,1.0,0.9304302024748964,0.407499,0.0296875,0.0475,0.004211906198179349
7800,25,0,7800,26,299,0.0,0.9276389118674717,0.407799,0.02734375,0.04796875,0.004083588229259476
8100,26,0,8100,27,299,0.0,0.9248559951318693,0.40809900000000005,0.0271875,0.04609375,0.003985395866911858
8400,27,0,8400,28,299,-2.0,0.9220814271464737,0.408399,0.02875,0.0465625,0.004170699717942625
8700,28,0,8700,29,299,2.0,0.9193151828650342,0.40869900000000003,0.03203125,0.05265625,0.004655339631717652
9000,29,0,9000,30,299,-1.0,0.9165572373164391,0.408999,0.03484375,0.049375,0.004603509062435478
9300,30,0,9300,31,299,0.0,0.9138075656044898,0.409299,0.029375,0.053125,0.004492351107764989
9600,31,0,9600,32,299,1.0,0.9110661429076764,0.40959900000000005,0.02796875,0.05125,0.00428050736663863
9900,32,0,9900,33,299,-1.0,0.9083329444789534,0.409899,0.0325,0.0465625,0.004329995862208307
10200,33,0,10200,34,299,0.0,0.9056079456455165,0.41019900000000004,0.03140625,0.04328125,0.004234298738883808
10500,34,1,300,1,299,4.0,0.90289112180858,0.410499,0.03921875,0.04875,0.004793544018175453
10800,35,1,600,2,299,1.0,0.9001824484431542,0.410799,0.0390625,0.04546875,0.004698216409888118
11100,36,1,900,3,299,1.0,0.8974819010978248,0.41109900000000005,0.039375,0.04375,0.00463990171207115
11400,37,1,1200,4,299,-1.0,0.8947894553945313,0.411399,0.04,0.043125,0.004648887362563982
11700,38,1,1500,5,299,-1.0,0.8921050870283477,0.41169900000000004,0.03921875,0.0459375,0.004836478515062481
12000,39,1,1800,6,299,0.0,0.8894287717672626,0.411999,0.0425,0.04796875,0.004983637492405251
12300,40,1,2100,7,299,0.0,0.8867604854519608,0.412299,0.04140625,0.048125,0.0048470320657361295
12600,41,1,2400,8,299,0.0,0.884100203995605,0.41259900000000005,0.0434375,0.04453125,0.004740289427572862
12900,42,1,2700,9,299,0.0,0.8814479033836181,0.412899,0.0409375,0.04390625,0.0044799287186469885
13200,43,1,3000,10,299,0.0,0.8788035596734672,0.41319900000000004,0.035625,0.04015625,0.0042338351730722935
13500,44,1,3300,11,299,-2.0,0.8761671489944468,0.413499,0.038125,0.04296875,0.004511244831373915
13800,45,1,3600,12,299,1.0,0.8735386475474635,0.41379900000000003,0.0409375,0.04703125,0.004743984842207283
14100,46,1,3900,13,299,-1.0,0.8709180316048211,0.414099,0.03765625,0.045,0.004619666999205947
14400,47,1,4200,14,299,2.0,0.8683052775100066,0.414399,0.035625,0.03734375,0.004142012867378071
14700,48,1,4500,15,299,-1.0,0.8657003616774767,0.41469900000000004,0.035,0.05078125,0.004617180040804669
15000,49,1,4800,16,299,-1.0,0.8631032605924442,0.414999,0.039375,0.0465625,0.004727478383574635
15300,50,1,5100,17,299,-1.0,0.860513950810667,0.41529900000000003,0.0403125,0.04453125,0.0046446287678554654
15600,51,1,5400,18,299,2.0,0.857932408958235,0.415599,0.03625,0.04546875,0.0046740608254913244
15900,52,1,5700,19,299,-1.0,0.8553586117313603,0.415899,0.03640625,0.04921875,0.004818609510548413
16200,53,1,6000,20,299,0.0,0.8527925358961662,0.41619900000000004,0.03578125,0.04765625,0.00478536440525204
16500,54,1,6300,21,299,1.0,0.8502341582884777,0.416499,0.04203125,0.0478125,0.004879530247999355
16800,55,1,6600,22,299,1.0,0.8476834558136123,0.41679900000000003,0.0378125,0.046875,0.004695654334500432
17100,56,1,6900,23,299,1.0,0.8451404054461714,0.417099,0.0365625,0.04609375,0.004738094490021467
17400,57,1,7200,24,299,1.0,0.8426049842298329,0.417399,0.034375,0.048125,0.004714167551137507
17700,58,1,7500,25,299,-1.0,0.8400771692771434,0.41769900000000004,0.03578125,0.0465625,0.00462639500037767
18000,59,1,7800,26,299,-1.0,0.837556937769312,0.417999,0.038125,0.04453125,0.004751766513800248
18300,60,1,8100,27,299,1.0,0.835044266956004,0.41829900000000003,0.03984375,0.04578125,0.004723720601759851
18600,61,1,8400,28,299,1.0,0.8325391341551359,0.418599,0.03515625,0.043125,0.0045538588718045505
18900,62,1,8700,29,299,1.0,0.8300415167526705,0.418899,0.033125,0.04328125,0.004504175448091701
19200,63,1,9000,30,299,1.0,0.8275513922024125,0.41919900000000004,0.035,0.04359375,0.0044783973251469435
19500,64,1,9300,31,299,1.0,0.8250687380258053,0.419499,0.0359375,0.043125,0.004519691470777616
19800,65,1,9600,32,299,-1.0,0.8225935318117279,0.41979900000000003,0.0321875,0.04359375,0.0045916497928556056
20100,66,1,9900,33,299,1.0,0.8201257512162927,0.420099,0.033125,0.04375,0.004621957328636199
20400,67,1,10200,34,299,1.0,0.8176653739626438,0.420399,0.0321875,0.04515625,0.004699739463394508
20700,68,2,300,1,299,-1.0,0.8152123778407558,0.42069900000000005,0.0378125,0.0425,0.004754061800194904
21000,69,2,600,2,299,2.0,0.8127667407072335,0.420999,0.038125,0.0421875,0.00476665650960058
21300,70,2,900,3,299,2.0,0.8103284404851119,0.42129900000000003,0.03328125,0.044375,0.004604392227483913
21600,71,2,1200,4,299,2.0,0.8078974551636565,0.421599,0.0334375,0.045625,0.004826430696994066
21900,72,2,1500,5,299,1.0,0.8054737627981655,0.421899,0.03015625,0.0415625,0.00463329971418716
22200,73,2,1800,6,299,3.0,0.803057341509771,0.42219900000000005,0.03125,0.044375,0.004774995434563607
